url_path,views_total,views_unique
/khulnasoft-lab/malicious-packages/actions,32,2
/khulnasoft-lab/malicious-packages,18,5
/khulnasoft-lab/malicious-packages/pulls,17,2
/khulnasoft-lab/malicious-packages/actions/workflows/dep-auto-merge.yml,13,1
/khulnasoft-lab/malicious-packages/blob/main/.github/workflows/dep-auto-merge.yml,9,2
/khulnasoft-lab/malicious-packages/tree/main/.github/workflows,6,2
/khulnasoft-lab/malicious-packages/actions/workflows/codeql-analysis.yml,5,2
/khulnasoft-lab/malicious-packages/tree/main/.github,5,2
/khulnasoft-lab/malicious-packages/issues/22,5,1
/khulnasoft-lab/malicious-packages/actions/workflows/ingest-ghsa.yml,4,3
