time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-15 00:00:00+00:00,236,32,159.0,1.0
2024-10-16 00:00:00+00:00,184,22,,
2024-10-17 00:00:00+00:00,250,31,,
2024-10-18 00:00:00+00:00,177,23,14.0,1.0
2024-10-19 00:00:00+00:00,168,19,,
2024-10-20 00:00:00+00:00,89,3,,
2024-10-21 00:00:00+00:00,140,15,3.0,2.0
2024-10-22 00:00:00+00:00,213,31,9.0,2.0
2024-10-23 00:00:00+00:00,149,21,,
2024-10-24 00:00:00+00:00,179,23,,
2024-10-25 00:00:00+00:00,125,14,,
2024-10-26 00:00:00+00:00,117,9,49.0,1.0
2024-10-27 00:00:00+00:00,138,13,4.0,1.0
2024-10-28 00:00:00+00:00,148,20,7.0,2.0
